coefficient,method,multiplier,observed_pre_bound,allowed_bias,estimate,original_ci_lower,original_ci_upper,bias_adjusted_ci_lower,bias_adjusted_ci_upper,sign_robust_positive,note
treated_x_acute,relative_magnitude,0.0,0.03500702136777,0.0,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.0260302490315585,0.072613321230725,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,relative_magnitude,0.25,0.03500702136777,0.0087517553419425,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.034782004373501,0.0813650765726675,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,relative_magnitude,0.5,0.03500702136777,0.017503510683885,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.0435337597154435,0.09011683191461001,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,relative_magnitude,1.0,0.03500702136777,0.03500702136777,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.061037270399328505,0.10762034259849501,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,relative_magnitude,1.5,0.03500702136777,0.052510532051655,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.0785407810832135,0.12512385328238002,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,relative_magnitude,2.0,0.03500702136777,0.07001404273554,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.0960442917670985,0.14262736396626502,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,smoothness_first_difference,0.0,0.07236539775807975,0.0,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.0260302490315585,0.072613321230725,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,smoothness_first_difference,0.25,0.07236539775807975,0.018091349439519937,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.04412159847107844,0.09070467067024494,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,smoothness_first_difference,0.5,0.07236539775807975,0.036182698879039875,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.06221294791059838,0.10879602010976488,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,smoothness_first_difference,1.0,0.07236539775807975,0.07236539775807975,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.09839564678963825,0.14497871898880477,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
